architecture,label,metric,metric_label,unit,seed_count,mean,sample_std,minimum,maximum
pinn_data_only,Data-only PINN,solid_temperature_normalized_rmse,Solid-$T$ nRMSE,,3,0.32854438475200176,0.31437112206830614,0.11163916055902812,0.6890749514157866
pinn_data_only,Data-only PINN,solid_maximum_temperature_p95_K,Max-$T$ p95,K,3,116.1282788564085,40.710571846517354,73.36780438236518,154.42025837908685
pinn_data_only,Data-only PINN,pressure_drop_p95_Pa,Pressure p95,Pa,3,13.691801484665481,10.85156981658588,4.672370382034567,25.734376016667373
pinn_data_only,Data-only PINN,wall_heat_p95_percent,Wall-heat p95,\%,3,39.78709041462291,17.142569124344302,29.319720350497054,59.57045926243949
pinn_data_only,Data-only PINN,regional_energy_difference_percent,Energy difference,\%,3,1591.7218113204501,121.6376748653373,1472.8405688793628,1715.9402188059864
pinn,Physics PINN,solid_temperature_normalized_rmse,Solid-$T$ nRMSE,,3,0.4539758094513152,0.46873877090091914,0.16749510098008272,0.9949128296285381
pinn,Physics PINN,solid_maximum_temperature_p95_K,Max-$T$ p95,K,3,102.95056632156258,22.223789822294492,80.78094917140669,125.228135531406
pinn,Physics PINN,pressure_drop_p95_Pa,Pressure p95,Pa,3,16.130935677174417,13.681537224066096,6.899085117755019,31.849300429807037
pinn,Physics PINN,wall_heat_p95_percent,Wall-heat p95,\%,3,39.40386570002866,20.810635852188934,24.531670849962552,63.186092019349246
pinn,Physics PINN,regional_energy_difference_percent,Energy difference,\%,3,1184.926638806771,183.77939320799052,977.1450754608827,1326.1668758713422
graph,Graph operator,solid_temperature_normalized_rmse,Solid-$T$ nRMSE,,3,0.07245923601343705,0.00144216572159406,0.07091994719817733,0.07377913892936384
graph,Graph operator,solid_maximum_temperature_p95_K,Max-$T$ p95,K,3,27.071571950143117,8.899461591044542,21.807970384804726,37.346754872382625
graph,Graph operator,pressure_drop_p95_Pa,Pressure p95,Pa,3,3.1313193874792575,0.11746966725992994,3.016257575384224,3.2510572647937797
graph,Graph operator,wall_heat_p95_percent,Wall-heat p95,\%,3,86.98763719465808,10.490667588047407,78.33533547279566,98.65595140356112
graph,Graph operator,regional_energy_difference_percent,Energy difference,\%,3,1548.8709856102735,33.13389074798403,1526.7845425538096,1586.969640805969
transolver,Transolver,solid_temperature_normalized_rmse,Solid-$T$ nRMSE,,3,0.06746745985247174,0.002623604242626468,0.06468552447572236,0.06989714111619832
transolver,Transolver,solid_maximum_temperature_p95_K,Max-$T$ p95,K,3,11.93847738706692,1.202869027886213,10.63999176188922,13.01473917950688
transolver,Transolver,pressure_drop_p95_Pa,Pressure p95,Pa,3,2.1381526761295384,0.13815066842091878,2.026228300580987,2.292554224952618
transolver,Transolver,wall_heat_p95_percent,Wall-heat p95,\%,3,73.50513687540625,31.776250936769845,44.55411689541867,107.50265893345636
transolver,Transolver,regional_energy_difference_percent,Energy difference,\%,3,1320.7134614022523,63.07607669647824,1248.1507288463736,1362.4334703820086
