condition_id,completion_time_s,inlet_velocity_m_s,inlet_temperature_K,cooling_wall_temperature_K,solid_heat_source_MW_m3,pressure_drop_Pa,outlet_temperature_K,outlet_minus_inlet_temperature_K,solid_maximum_temperature_K,solid_maximum_minus_cooling_wall_K,generated_power_W,net_outward_enthalpy_flow_W,net_outward_enthalpy_over_generated,external_fluid_conductive_heat_W,external_solid_conductive_heat_W,total_external_boundary_heat_W,total_external_boundary_heat_over_generated,reconstructed_energy_difference_W,boundary_heat_fallback_used,cooling_wall_heat_into_fluid_W,cooling_wall_heat_over_generated,cooling_wall_heat_direction,relative_mass_difference,relative_energy_difference
u0p05_T300_q4p85,200,0.05,300.0,635.0,4.85,8.699900000006892,540.3513741,240.35137410000004,634.929121,-0.07087899999999081,0.17272693,0.191678776678,1.1097214353199008,-1.5032315933483318,1.522201793,0.01897019965166824,0.10982768958881073,1.8352973668228634e-05,False,0.2367521904,1.3706732957043815,wall_to_fluid,6.8822331242346605e-09,1.220901273595795e-05
u0p05_T300_q6p85,200,0.05,300.0,635.0,6.85,8.821400000000722,545.4208241,245.4208241,634.932913,-0.067087000000015,0.24395453,0.196456440921,0.8052994175635927,-1.5360674499049054,1.488589071,-0.04747837890490536,-0.19461978797813412,1.9710174094633715e-05,False,0.232568594,0.9533276303580015,wall_to_fluid,5.005255477431834e-09,1.2831581123434981e-05
u0p05_T300_q8p85,200,0.05,300.0,635.0,8.85,8.942899999994552,550.4743051,250.47430510000004,634.9367082,-0.06329180000000179,0.31518213,0.201199246364,0.6383586733296078,-1.5689285408531706,1.454966788,-0.11396175285317067,-0.36157428358381444,2.1130782829337225e-05,False,0.2283827237,0.724605559648956,wall_to_fluid,4.379593982285726e-09,1.3468288885732785e-05
u0p05_T500_q4p85,200,0.05,500.0,635.0,4.85,7.072799999994459,602.294843,102.29484300000001,634.974909,-0.025090999999974883,0.17272693,0.0498473591,0.288590546361242,-0.749972749466066,0.6271112707,-0.12286147876606601,-0.7113047094976216,1.8092133933986232e-05,False,0.1023655276,0.5926437041404025,wall_to_fluid,4.48394003871283e-09,2.4123721757786827e-05
u0p05_T500_q6p85,200,0.05,500.0,635.0,6.85,7.146399999997811,607.1923851,107.19238510000002,634.978738,-0.021261999999978798,0.24395453,0.05247222280000001,0.21509017602583566,-0.7848655454975002,0.5934030499,-0.19146249559750017,-0.7848286137482267,1.981160249982239e-05,False,0.09814762998,0.4023193583656757,wall_to_fluid,4.796769990925316e-09,2.5242033636811604e-05
u0p05_T500_q8p85,200,0.05,500.0,635.0,8.85,7.220000000001164,612.0767018,112.07670180000002,634.9825693,-0.01743069999997715,0.31518213,0.055082341300000004,0.17476352894753266,-0.8197698365248862,0.5596916531,-0.2600781834248862,-0.8251679225116164,2.1605275113800726e-05,False,0.09392830091,0.2980127741061969,wall_to_fluid,4.6924895892864945e-09,2.6355294072947184e-05
u0p05_T700_q4p85,200,0.05,700.0,635.0,4.85,6.621100000003935,668.6422681,-31.357731899999976,698.8668044,63.86680439999998,0.17272693,-0.010660631000000004,-0.06171956509618971,0.2644789379372081,-0.4478745338,-0.18339559586279186,-1.0617660828151803,-8.034862791855835e-06,False,-0.06950423354,-0.40239372945492635,fluid_to_wall,2.773796522691066e-09,3.037997223719739e-05
u0p05_T700_q6p85,200,0.05,700.0,635.0,6.85,6.674299999998766,673.3632686,-26.63673140000003,699.8632427,64.8632427,0.24395453,-0.008926906400000018,-0.0365925010697691,0.22858256842550162,-0.481470188,-0.2528876195744984,-1.0366178466720761,-6.183174498380906e-06,False,-0.07373141992,-0.30223427259169977,fluid_to_wall,2.62780618934835e-09,2.5345602307040193e-05
u0p05_T700_q8p85,200,0.05,700.0,635.0,8.85,6.727599999998347,678.0735511,-21.92644889999997,702.189899,67.18989899999997,0.31518213,-0.007200828599999987,-0.022846563667806886,0.19267968132522123,-0.5150669189,-0.3223872375747788,-1.0228601398650956,-4.278974778781919e-06,False,-0.07795973918,-0.24734822110631716,fluid_to_wall,2.9197832946054604e-09,1.3576197288792733e-05
u0p05_T900_q4p85,200,0.05,900.0,635.0,4.85,6.548099999999977,738.571115,-161.42888500000004,890.4853371,255.48533710000004,0.17272693,-0.044117128300000016,-0.2554154601138341,1.44582670519865,-1.662744667,-0.21691796180134992,-1.2558433233390411,-7.39035013499062e-05,False,-0.2692625024,-1.558891264957931,fluid_to_wall,3.1909106633243377e-09,5.111504794047685e-05
