mesh_level,fluid_cells,solid_cells,total_cells,equivalent_cell_size_m,cell_volume_porosity,fluid_basic_check_passes,solid_basic_check_passes,relative_mass_difference,relative_energy_difference,outlet_temperature_change_K,solid_maximum_temperature_change_K,cooling_wall_heat_fraction,pressure_drop_Pa,outlet_temperature_K,solid_maximum_temperature_K,cooling_wall_heat_flow_W,generated_power_W,pressure_drop_Pa_relative_difference_from_fine,outlet_temperature_change_K_relative_difference_from_fine,solid_maximum_temperature_change_K_relative_difference_from_fine,cooling_wall_heat_fraction_relative_difference_from_fine
coarse,160989,200162,361151,5.438034275556315e-05,0.385905947822254,True,True,1.4508700256800338e-09,0.0014536289201107693,-26.51815929999998,-0.14458920000004127,-0.2733302238331053,23.301000000006752,673.4818407,699.8554108,-0.06668014629,0.24395453,0.13706392119055333,0.01786889626441855,1.898909291661502,0.11228710952578073
medium,432384,515540,947924,3.942276139483062e-05,0.38660500289264166,True,True,1.276005321559112e-08,0.00031402692132856695,-26.203501200000005,0.05208719999995992,-0.2942447589311008,25.640599999998813,673.7964988,700.0520872,-0.07178234187,0.24395453,0.050418487519245436,0.005791108763246366,0.6761745133344566,0.04436157189441174
fine,858419,1011645,1870064,3.143301631002701e-05,0.38679784567067965,True,True,2.91929009681821e-09,1.1867725961745176e-05,-26.05262760000005,0.16084960000000592,-0.307903858067321,27.00199999999313,673.9473724,700.1608496,-0.07511454098,0.24395453,0.0,0.0,0.0,0.0
